"","DNA","rpkm.f67","rpkm.m68","rpkm.f69","rpkm.m70","Assembly","GenBank.Accession.version","NCBI.name","chr"
"57","gene7043",7.24407431740887,9.20972710200799,12.5933973573259,6.3061519969034,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"58","gene7159",322.646480970214,324.835434197178,333.221651503341,319.669606364221,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"59","gene6934",82.8507629107826,68.8190319458664,83.4708746257274,59.3902416542066,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"60","gene6937",229.360019993253,232.388234141327,208.478199729945,227.031854995674,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"61","gene7161",0,0,0,0.904879961348016,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"62","gene7162",55.4234850219421,60.8605810313417,95.090454722651,64.5940883347455,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"63","gene7127",333.841271401098,361.332667889631,343.639933167722,376.000131106652,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"64","gene7273",5.15550620588686,1.87095977433258,4.50728833030298,3.36964682657478,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"65","gene7274",43.9044963517299,47.6030187924824,45.0015612309591,47.7695525646681,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"66","gene7166",1364.46962620096,1470.3490643378,1104.77530393839,1468.68923011067,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"67","gene7276",72.3963585138833,65.3097363818692,56.2135831112119,63.638236734953,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"68","gene7277",552.940829471737,547.674200348439,456.104540344798,585.333664358629,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"69","gene7278",45.3332595543979,38.4300811747786,54.5646881507762,64.8668219379102,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"70","gene6946",33.4476410706766,28.8926240310149,41.0488604943411,16.455943331054,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"71","gene7056",10.7312829143873,16.0072851105193,5.97872883073618,20.2626178542539,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"72","gene7171",276.610069254863,318.030650564226,217.796124699942,306.861161182398,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"73","gene7172",725.643634448126,778.281938341838,637.074129178992,869.079235537398,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"74","gene7173",1600.47131601574,1517.92252643213,1599.91389028042,1465.80106206732,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"75","gene7174",307.264208598298,291.306419370069,261.438071471978,329.556049396326,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
"76","gene7060",127.509317133283,118.533842178523,122.155063113595,132.240553615317,"ASM15162v1","DF090316.1","GPS_001612900.1","13"
