 names SAM_wt_rep2 SAM_wt_rep1 SAM_sdE3_rep2 SAM_sdE3_rep1 ORE_wt_rep2 ORE_wt_rep1 ORE_sdE3_rep2 ORE_sdE3_rep1 HYB_wt_rep2 HYB_wt_rep1 HYB_sdE3_rep2 HYB_sdE3_rep1
C16185	0	2	1	0	0	2	3	0	0	1	0	0
C16187	3	6	0	3	3	0	0	6	3	0	0	9
C16189	0	5	5	0	0	10	0	0	5	6	0	0
C16191	4	8	0	2	2	4	8	4	30	0	2	4
C16193	9	3	8	13	17	11	10	18	12	4	8	4
C16195	0	13	0	0	0	4	0	8	0	0	0	0
C16197	2	11	2	2	6	2	6	2	0	4	2	0
C16199	0	3	3	3	9	6	0	11	13	3	8	0
C16201	6	25	14	7	15	20	11	20	17	8	10	7
C16203	53	97	87	81	77	63	102	108	104	66	65	61
C16205	3	18	22	10	11	6	16	20	15	16	27	20
C16207	0	25	4	5	7	8	0	24	12	10	8	8
C16209	14	45	37	24	7	15	33	30	49	57	45	38
C16211	3	5	5	5	3	0	0	5	10	0	0	4
C16213	240	236	178	239	523	355	296	364	307	208	200	128
C16215	7	3	3	0	4	5	5	2	3	0	0	0
C16217	0	6	4	0	0	0	4	2	2	2	4	0
C16219	0	0	0	0	2	0	0	0	3	4	0	0
C16221	0	2	0	5	2	0	2	0	0	0	0	2
C16223	2	2	2	0	0	0	2	0	7	0	0	2
C16225	0	4	8	4	0	7	0	3	7	0	0	0
C16227	0	0	0	4	6	0	4	7	0	8	3	3
C16229	0	16	8	8	16	13	21	12	20	8	10	2
C16231	11	11	13	8	23	15	0	23	29	15	14	20
C16233	4	8	2	6	10	2	0	0	2	2	8	2
C16235	0	3	0	0	0	8	0	0	0	3	0	0
C16237	3	8	4	13	21	8	28	11	0	5	0	0
C16239	6	9	3	3	0	15	3	14	9	11	14	3
C16241	0	4	2	0	2	0	0	2	0	0	0	0
C16243	0	0	0	0	0	0	14	8	8	0	0	0
C16245	44	111	119	77	88	85	57	128	137	43	58	99
C16247	3	3	0	3	5	3	0	6	9	3	9	0
C16249	4	10	5	0	3	0	5	0	0	0	0	5
C16251	0	5	2	0	0	2	2	2	5	0	2	0
C16253	5	12	16	10	7	6	3	8	23	7	14	15
C16255	0	0	0	12	0	0	0	0	10	13	0	10
C16257	7	64	48	54	32	48	58	30	86	68	70	34
C16259	4	9	0	10	6	9	4	4	8	10	11	12
C16261	58	100	122	106	122	162	153	193	192	150	113	118
C16263	0	9	0	0	12	4	4	0	0	0	4	0
C16265	3	0	0	4	3	8	4	4	0	5	0	4
C16267	5	0	0	8	0	0	0	13	0	16	0	25
C16269	0	0	0	0	4	5	6	5	6	0	0	5
C16271	0	5	0	0	3	5	0	0	0	0	0	0
C16273	416	762	1420	1125	37	46	1401	1815	2223	1343	1115	1124
C16275	0	0	0	0	4	0	4	0	0	0	0	4
C16277	0	5	5	5	7	20	11	14	5	6	4	0
C16279	24	73	80	48	69	54	60	132	41	34	84	64
C16281	6	0	9	0	11	0	0	8	8	0	7	0
C16283	0	3	0	4	10	10	7	3	7	4	3	0
C16285	309	588	565	496	802	776	628	859	768	337	565	371
C16287	0	0	0	0	6	0	4	8	16	0	0	0
C16289	6	0	8	26	16	8	8	22	23	10	0	29
C16291	2	2	7	0	15	2	12	6	2	0	0	0
C16293	5	0	5	2	6	3	0	0	2	3	2	0
C16295	0	0	0	0	0	5	0	5	5	0	0	5
C16297	0	0	0	3	2	0	0	0	0	0	0	0
C16299	6	15	8	8	17	12	15	10	17	3	10	5
C16301	0	5	5	0	2	2	2	5	2	11	7	5
C16303	3	23	4	4	8	14	0	18	18	5	13	7
C16305	0	0	2	0	2	4	0	2	0	0	2	0
C16307	3	0	0	0	3	0	4	0	0	4	3	7
C16309	0	0	0	0	2	2	0	2	2	0	0	2
C16311	0	0	0	0	19	0	0	10	20	0	0	10
C16313	2	0	0	2	0	5	2	2	0	0	0	2
C16315	3	0	3	0	0	3	0	0	0	6	0	5
C16317	0	10	5	0	0	0	0	5	0	0	0	0
C16319	0	2	0	0	2	2	3	6	0	0	0	2
C16321	0	0	3	3	0	0	0	0	3	0	3	5
C16323	12	3	0	6	8	11	0	3	2	0	0	3
C16325	0	0	7	0	4	0	0	0	9	0	9	2
C16327	11	85	58	47	71	87	64	111	100	76	71	59
C16329	0	0	4	0	0	2	2	2	0	0	0	2
C16331	0	8	3	0	0	5	3	3	0	3	0	3
C16333	0	0	0	0	19	0	11	10	0	0	0	10
C16335	9	23	25	40	25	33	35	61	77	43	12	28
C16337	25	23	4	36	39	52	32	31	61	16	15	12
C16339	0	0	6	0	0	6	6	6	6	16	0	6
C16341	0	0	0	0	2	2	0	2	0	0	0	4
C16343	982	1705	1910	1218	1047	1252	1177	1452	2522	1739	1586	1335
C16345	6	3	3	3	0	0	3	6	3	3	3	0
C16347	0	0	3	0	2	3	8	0	8	3	3	3
C16349	0	2	0	3	5	0	5	2	12	0	0	0
C16351	7	0	0	4	3	4	0	4	7	0	7	0
C16353	22	69	44	20	45	65	58	48	95	64	52	57
C16355	8	32	32	27	31	43	25	62	74	27	30	36
C16357	0	0	1	1	1	0	0	1	0	3	0	0
C16359	184	514	353	204	428	305	385	658	449	219	282	194
C16361	20	24	24	32	31	11	0	23	17	7	37	38
C16363	4	0	0	0	4	10	11	15	5	0	0	0
C16365	5	5	5	5	2	2	13	7	12	5	0	12
C16367	0	0	0	0	0	0	0	4	4	0	8	4
C16369	28	34	31	26	39	36	37	70	60	27	46	29
C16371	6	10	8	4	6	6	2	9	2	2	2	4
C16373	147	149	121	179	310	283	428	323	99	39	80	34
C16375	104	210	234	199	168	223	204	195	330	148	114	149
C16377	67	93	83	56	86	71	131	126	131	65	101	54
C16379	0	0	14	0	7	0	5	5	0	6	9	9
C16381	2	0	5	0	4	0	3	2	7	0	0	5
C16383	5	0	0	0	9	0	0	16	9	0	0	0
C16385	0	0	23	0	0	0	6	6	6	0	0	0
C16387	0	2	0	0	2	0	2	2	8	0	0	0
C16389	2	0	0	0	2	5	0	5	0	0	0	0
C16391	3	0	0	0	3	9	0	9	0	7	0	3
C16393	16	28	27	30	29	34	27	50	34	35	14	47
C16395	0	12	7	4	9	11	13	37	24	9	11	11
C16397	396	900	980	881	930	723	877	1295	1108	766	644	613
C16399	0	5	9	12	14	38	10	38	11	10	0	5
C16401	8	3	0	3	2	0	0	3	14	0	0	0
C16403	16	16	76	39	64	32	47	31	48	40	33	31
C16405	28	55	47	26	63	33	34	61	57	26	33	25
C16407	0	2	4	0	0	0	2	0	10	0	4	2
C16409	4	12	12	26	27	20	24	64	4	13	15	0
C16411	3	11	7	11	15	15	0	28	0	26	10	21
C16413	7	0	9	5	3	0	9	17	0	6	8	8
C16415	0	0	0	0	0	5	0	4	0	5	4	0
C16417	0	6	6	0	9	6	0	11	6	7	5	15
C16419	0	8	0	0	0	12	4	8	0	0	0	0
C16421	2	0	0	2	2	0	0	0	8	2	2	0
C16423	11	21	21	19	20	16	18	24	34	10	25	13
C16425	67	39	16	36	52	97	106	95	62	26	26	22
C16427	63	147	132	135	200	79	112	169	174	81	120	84
C16429	0	7	2	2	0	0	5	0	0	0	4	2
C16431	2	3	14	3	7	3	15	9	14	0	8	9
C16433	0	0	0	11	3	0	0	0	6	0	9	0
C16435	243	408	448	291	366	497	447	510	481	461	261	337
C16437	0	0	0	0	0	0	0	8	0	0	4	0
C16439	0	2	0	0	0	0	0	2	2	5	0	0
C16441	3	3	3	0	3	0	3	3	0	0	3	0
C16443	0	0	0	0	0	0	4	2	4	4	0	0
C16445	0	0	0	4	0	4	4	8	8	5	7	4
C16447	0	4	0	2	0	0	0	0	10	0	2	4
C16449	1154	1974	1311	1906	3850	1971	2385	2856	1747	1062	1137	890
C16451	22	13	16	17	18	10	13	12	19	21	6	19
C16453	32	80	79	86	119	45	100	95	117	50	140	68
C16455	0	0	2	5	0	10	2	7	7	0	5	2
C16457	0	3	3	7	0	0	0	0	0	0	6	0
C16459	47	103	92	98	113	71	78	136	160	80	91	83
C16461	9	7	10	5	15	0	2	5	12	7	7	11
C16463	0	0	4	2	0	0	0	0	2	0	2	0
C16465	0	8	3	0	5	11	3	3	0	0	0	0
C16467	0	2	0	1	0	3	2	3	13	0	1	1
C16469	1075	1853	1163	1190	1946	1520	1450	2283	1674	1232	1130	1266
C16471	3	7	3	0	0	0	7	3	3	0	0	0
C16473	0	0	0	6	4	5	5	10	5	18	0	0
C16475	221	358	420	225	271	312	371	442	615	358	271	278
C16477	0	0	4	4	7	0	4	0	4	5	0	8
C16479	5	11	0	8	2	3	0	0	7	0	9	3
