tracking_id,Hyb_vg_0,Hyb_vg_1,Hyb_wt_0,Hyb_wt_1,ORE_vg_0,ORE_vg_1,ORE_wt_0,ORE_wt_1,SAM_vg_0,SAM_vg_1,SAM_wt_0,SAM_wt_1
XLOC_000115,6.17586,4.31584,10.336,13.9052,8.00709,15.0872,5.08948,6.11741,10.5267,9.16286,8.67697,6.27612
XLOC_000116,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000117,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000118,4.32328,4.59924,5.77497,4.95048,3.97598,4.46646,4.91306,5.17078,4.32142,3.55271,4.02588,4.42121
XLOC_000119,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000120,16.4891,18.4076,17.8612,17.3638,15.7322,18.5526,16.2178,17.76,17.504,17.9252,17.5626,18.4224
XLOC_000121,7.71016,6.26638,6.11326,5.55182,7.69841,7.18617,7.44021,6.59643,7.13549,6.86449,6.284,5.58663
XLOC_000122,0.0714332,0.037971,0.233783,0,0.332647,0,0.0953851,0.0569663,0.118539,0.0748736,0.0688743,0.0641033
XLOC_000123,0,0.0224273,0.0344638,0,0,0,0,0,0.105849,0.0441164,0.0813328,0.0377092
XLOC_000124,0,0,0,0,0,0,0,0,0,0,0.0428193,0.0397168
XLOC_000125,47.2126,48.5805,52.9791,55.7372,43.3148,70.4452,62.2206,63.2648,46.7881,58.3289,39.2725,52.5479
XLOC_000126,44.2808,51.8153,57.5188,54.6584,39.8445,51.1812,49.743,53.8025,53.663,57.7977,54.4275,57.0337
XLOC_000127,0.0987635,0.017499,0.134383,0.0319537,0,0.145508,0.0223941,0.0261391,0.0827957,0.0343957,0.0634537,0.176311
XLOC_000128,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000129,24.3775,19.9434,21.7329,21.6715,28.3775,18.472,22.1764,20.7178,19.6465,23.6789,20.5913,20.9114
XLOC_000130,60.2986,58.2154,62.5792,55.3644,54.0007,58.0324,57.6751,58.718,59.3063,58.13,56.7613,60.6183
XLOC_000131,104.139,95.477,87.7012,95.8696,95.1827,90.2569,111.406,91.4961,87.3124,105.224,109.451,88.1952
XLOC_000132,0.79231,0.94257,0.708633,0.549549,0.807286,0.752643,0.64011,0.299728,0.663353,0.552087,0.436349,0.336992
XLOC_000133,0,0,0,0,0,0,0.0577784,0,0,0,0.0840873,0
XLOC_000134,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000135,0,0,0,0,0,0,0,0.104856,0,0,0,0
XLOC_000136,0.157987,0.125971,0.129319,0.308005,0.2461,0,0.105099,0.06305,0.196233,0,0,0
XLOC_000137,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000138,0,0,0,0,0.13483,0.0985842,0,0,0,0.090552,0.083187,0.0775691
XLOC_000139,0.010819,0.0156225,0.0264583,0.00948462,0.00814732,0.0235119,0.0186497,0.0171258,0.0456873,0,0.0208459,0.0174221
XLOC_000140,0.0685877,0.291658,0.560002,0.332902,0,0.0758619,0,0,0.574774,0.358349,1.18981,1.22465
XLOC_000141,0,0.0734597,0.340611,0.406243,0,0,0,0,0.450685,0.145596,0.39994,0.375193
XLOC_000142,16.5422,18.6482,15.8912,18.3982,15.3949,21.5215,17.9647,19.3455,19.0146,18.6096,12.1407,15.5183
XLOC_000143,18.8838,21.5729,20.5786,22.7113,16.2783,19.8183,18.7841,21.257,17.3303,18.2932,20.7715,21.0012
XLOC_000144,38.1757,37.3225,37.882,42.5293,33.6834,46.6441,45.7796,51.0864,36.1927,34.9569,26.722,36.7104
XLOC_000145,8.0331,7.01859,9.10688,6.40784,8.42999,5.78437,7.65608,7.10091,7.98936,7.84897,9.30876,8.4181
XLOC_000146,0,0.00379197,0.0232626,0,0,0.00775952,0.00491487,0.00607848,0.00602246,0,0,0
XLOC_000147,4.27331,4.28326,4.30938,3.62081,4.13673,4.10632,3.45659,3.59249,3.71214,5.33176,4.53688,4.87326
XLOC_000148,21.9179,21.9925,20.8782,20.1179,18.818,21.5741,21.3562,20.9364,22.8293,20.5495,20.8388,20.7628
XLOC_000149,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000150,1.38221,1.46672,0.910023,1.38308,1.62877,0.938198,1.58071,1.32507,0.803508,0.726985,1.11595,0.870373
XLOC_000151,67.5948,54.1236,41.9922,50.2309,51.932,83.4891,66.2387,62.2245,60.6208,44.5656,24.9219,23.4769
XLOC_000152,10.3306,7.24762,6.70482,7.19271,8.41205,9.95638,8.16541,6.95352,6.7523,8.84853,6.09091,6.64294
XLOC_000153,166.856,163.479,175.401,219.009,152.463,168.422,166.21,183.698,139.731,199.463,183.607,165.146
XLOC_000154,0,0,0,0,0,0,0,0.0846192,0,0,0,0
XLOC_000155,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000156,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000157,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000158,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000159,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000160,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000161,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000162,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000163,0.0807329,0.0429122,0,0.0260722,0.0610176,0.205681,0.027722,0.0213192,0.068036,0.0561405,0,0
XLOC_000164,0.78176,0.827359,0.366277,0.40022,0.903544,1.16287,0.353586,0.535418,0.6864,0.503238,0.464749,0.429569
XLOC_000165,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000166,17.0254,18.4502,16.9543,19.7699,15.6209,19.2345,18.1775,18.8628,14.1949,17.6039,14.5722,14.8283
XLOC_000167,18.9711,20.8954,20.9568,27.646,16.532,24.0866,25.6185,23.7205,23.7192,23.0707,24.8504,23.2443
XLOC_000168,3201.42,2187.54,2203.58,2109.94,3146.81,1739.78,2528.09,1870.12,2051.04,2353.4,3249.31,1989.9
XLOC_000169,9.92345,11.3258,11.4623,11.2973,9.80652,11.5802,10.0345,11.7088,10.1161,10.9549,8.95245,10.6141
XLOC_000170,102.615,90.3215,100.33,82.396,87.7814,82.0762,87.6021,90.8319,70.8082,83.1719,89.0139,90.7705
XLOC_000171,117.473,104.517,117.276,126.617,129.342,107.611,93.5202,100.244,71.2252,103.136,102.677,97.0114
XLOC_000172,985.776,746.835,716.501,765.267,987.721,600.48,736.682,582.32,452.85,661.834,667.732,506.112
XLOC_000173,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000174,3.83101,5.89844,2.69912,4.18711,2.17886,5.04946,3.47933,3.32921,6.49539,5.44294,5.84476,2.66057
XLOC_000175,0.0498051,0,0,0,0,0.0556124,0.0672032,0,0,0,0,0.0445601
XLOC_000176,3.44607,3.74709,3.84752,4.30602,3.52003,4.0666,3.49828,3.5047,4.21301,3.41353,4.41253,5.16314
XLOC_000177,0,0,0,0,0,0,0,0.0304042,0,0,0,0
XLOC_000178,8693.96,6559.71,8124.45,6632.14,9819.48,5043.06,6350.17,5026.96,4161.99,5885.01,8645.47,5631.98
XLOC_000179,0.595708,0.575728,0.88531,0.368672,0.833941,0.788245,0.656271,0.603437,0.812549,0.170044,0.313226,0.96963
XLOC_000180,25.697,22.9363,24.0401,24.6941,25.3697,24.8482,24.0474,21.9655,20.58,26.1821,25.0288,23.1203
XLOC_000181,29.307,25.1723,24.4291,34.2722,29.9517,22.286,17.5994,19.7004,12.8899,25.0321,17.0192,21.4639
XLOC_000182,15.4824,13.4979,14.9009,15.195,11.9425,14.2485,12.3375,14.7644,9.85289,13.142,11.4625,12.2353
XLOC_000183,8.36026,10.8933,8.19657,11.8254,6.99409,13.1698,8.87465,11.6426,12.206,9.56068,9.26915,9.85564
XLOC_000184,0.321425,0.337553,0.12564,0.205867,0.339838,0.694772,0.261792,0.261871,0.321872,0.416827,0.194871,0.244741
XLOC_000185,71.0426,76.7562,79.4226,81.787,69.0119,84.3084,84.4045,76.5097,69.8427,91.1488,74.53,75.0515
XLOC_000186,36.9842,33.2905,41.4507,34.6212,38.6776,32.3921,39.1141,34.0072,26.1521,36.5892,41.1088,40.5126
XLOC_000187,11.4856,13.4164,11.9038,12.1092,9.72639,12.9247,12.2875,10.827,10.5716,11.9659,9.89471,10.1211
XLOC_000188,14.1092,16.6813,15.1761,18.0571,12.9131,18.0975,14.7696,15.8366,16.0136,16.3954,14.3499,15.5323
XLOC_000189,16.0285,17.018,19.4863,16.4902,17.3202,17.0907,16.9635,16.5206,16.2865,20.5775,18.7231,18.9091
XLOC_000190,0.182942,0.353606,0.352706,0.241768,0.176185,0.309301,0.376385,0.342702,0.18206,0.399112,0.144219,0.118488
XLOC_000191,30.1508,31.1161,30.8971,36.0871,24.2423,30.7392,32.6336,33.0702,30.6155,36.1003,28.7666,32.9772
XLOC_000192,36.3181,33.6286,33.664,30.7305,36.6249,29.3688,32.276,32.7919,28.8283,31.2476,33.8087,32.8427
XLOC_000193,3.39063,2.58009,2.79767,2.70277,3.43334,2.52831,2.95793,2.38116,2.27226,3.28223,2.88937,2.32649
XLOC_000194,8.19858,9.30923,9.59953,11.1428,8.25397,8.06669,7.87143,8.00729,6.25563,9.84317,8.40569,8.47251
XLOC_000195,0.116992,0,0.288023,0,0.185599,0,0,0.281419,0.0959387,0,0.112887,0
XLOC_000196,0.00549355,0.00291998,0.00895579,0.0106371,0,0.0119385,0.00757549,0.00434828,0,0,0.00529246,0.00976984
XLOC_000197,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000198,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_000199,1.92704,2.09656,4.6278,4.93753,2.52658,3.92268,3.62852,4.42321,2.06915,1.54804,2.34191,2.75139
XLOC_000200,0,0,0,0.0365202,0,0,0,0,0,0,0,0
